,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
5404,13595,26,F,1.0,46,32571,1,1,Rent,80005,2/8/2016,Monday,Highway,0,0.0,77,Online,1,3816.719593,6.0,Medium,18316.06904,other,18956.80831
4052,10244,69,M,1.0,80,42328,0,1,Rent,20108,12/18/2015,Friday,Parking Lot,0,0.0,25,Broker,1,3542.6402689999995,2.0,Compact,47976.337210000005,gray,15756.14657
3562,9002,249,M,1.0,94,55189,0,0,Own,80040,11/19/2016,Saturday,Local,0,1.0,93,Broker,0,6366.632672,5.0,Compact,10785.66376,gray,35005.87268
2984,7500,54,M,1.0,77,39888,1,1,Own,50021,7/22/2015,Wednesday,Local,0,1.0,45,Phone,1,5540.734305,10.0,Medium,32548.08395,silver,19264.14939
4497,11347,48,F,0.0,78,38699,1,1,Rent,15012,1/8/2016,Friday,Local,0,0.0,98,Broker,0,1952.624979,5.0,Medium,25809.53899,silver,9412.933257
3686,9319,35,M,1.0,91,35547,1,1,Own,80022,8/7/2016,Sunday,Highway,0,0.0,6,Broker,1,4791.852797,2.0,Medium,32239.90238,blue,30784.24815
9102,22806,54,F,1.0,66,39883,0,0,Rent,85075,12/7/2015,Monday,Highway,0,0.0,90,Broker,1,5759.032474000001,11.0,Compact,8236.568667,white,36813.62022
6405,16067,48,M,1.0,64,38704,1,1,Own,85067,1/26/2015,Monday,Local,0,1.0,56,Phone,1,4914.048151,2.0,Large,21820.46239,black,34689.50992
2053,5107,60,F,1.0,79,40939,1,0,Own,20137,9/13/2016,Tuesday,Local,0,0.0,62,Broker,1,1465.933026,3.0,Medium,20970.98162,red,40441.55817
2283,5710,62,M,1.0,85,41251,1,0,Own,85036,1/16/2016,Saturday,Parking Lot,0,0.0,50,Broker,1,3773.048365,4.0,Medium,14729.19208,white,31404.7418
2249,5606,30,M,1.0,84,34010,1,0,Rent,20106,7/15/2016,Friday,Local,0,0.0,18,Broker,1,5477.4236200000005,6.0,Medium,27393.56776,blue,19401.65362
5376,13515,46,M,0.0,69,38294,1,1,Own,50056,1/3/2016,Sunday,Parking Lot,0,1.0,92,Phone,1,3708.221586,3.0,Compact,27765.58719,red,15194.97118
7333,18420,38,F,0.0,83,36365,0,1,Own,85054,9/15/2016,Thursday,Local,3,0.0,36,Broker,1,1918.23725,6.0,Medium,37829.6279,other,19105.12365
7711,19371,29,F,1.0,89,33681,1,1,Own,50021,3/23/2015,Monday,Local,0,0.0,90,Online,0,4064.640354,3.0,Medium,20384.58974,red,21983.94753
11643,29087,58,F,1.0,75,40603,1,1,Own,85046,4/19/2015,Sunday,Parking Lot,3,0.0,100,Online,1,4949.604727,6.0,Large,10409.67703,red,17317.28232
6530,16376,49,M,0.0,87,38921,1,1,Own,85014,5/18/2016,Wednesday,Parking Lot,0,0.0,63,Online,0,6165.403433,6.0,Large,32854.590130000004,red,51085.11445
8527,21374,43,M,0.0,69,37625,0,1,Rent,85017,10/15/2015,Thursday,Parking Lot,0,1.0,60,Online,0,3364.6382380000005,5.0,Large,17294.42015,black,24293.34203
2275,5690,74,F,1.0,84,43036,1,0,Rent,20136,12/12/2016,Monday,Local,0,0.0,84,Broker,1,1297.910456,8.0,Large,7376.326637,red,11419.97113
8013,20094,47,F,0.0,57,38512,1,1,Own,50052,7/10/2015,Friday,Local,0,0.0,89,Broker,0,4904.264265,4.0,Compact,30868.089760000003,gray,24129.62019
7690,19329,32,F,0.0,73,34640,1,0,Own,50051,1/1/2015,Thursday,Highway,0,0.0,45,Broker,1,4056.117443,8.0,Compact,31514.00111,gray,18424.27473
2560,6392,85,F,0.0,77,44430,1,0,Own,15017,7/31/2015,Friday,Local,0,0.0,20,Broker,0,7510.074702,2.0,Compact,18917.79801,black,20373.42961
6430,16122,57,M,1.0,45,40428,1,1,Own,80024,12/31/2016,Saturday,Local,0,0.0,15,Phone,1,6316.376492,5.0,Medium,29606.62775,black,20461.92424
6896,17294,51,M,0.0,82,39308,1,1,Own,50051,1/1/2016,Friday,Parking Lot,0,0.0,48,Phone,0,2479.532923,4.0,Large,18826.73037,silver,51704.17216
11883,29727,31,M,0.0,90,34352,1,0,Own,20153,11/25/2016,Friday,Parking Lot,1,0.0,4,Broker,1,3691.799107,10.0,Medium,42804.09988,black,29224.12651
5343,13437,49,M,1.0,73,38927,0,0,Own,80022,11/22/2015,Sunday,Local,0,1.0,63,Broker,0,2843.171879,5.0,Large,17356.159030000003,black,20933.77219
6608,16569,43,M,1.0,72,37607,0,1,Own,50025,11/30/2016,Wednesday,Local,0,0.0,92,Phone,1,4855.397509,3.0,Medium,14680.71354,silver,30062.669110000003
1360,3410,42,F,0.0,76,37372,1,1,Own,80105,10/4/2015,Sunday,Local,2,0.0,11,Broker,1,5587.548379999999,8.0,Compact,35911.16681,blue,71195.26641
5153,12959,34,M,0.0,84,35272,1,1,Own,50009,5/14/2016,Saturday,Parking Lot,6,0.0,34,Phone,1,3723.175903,6.0,Medium,29440.977110000003,black,14554.26699
6112,15327,40,M,1.0,71,36899,1,0,Own,85051,8/27/2016,Saturday,Highway,0,1.0,91,Broker,0,5145.405519,5.0,Medium,30731.65171,silver,32789.46982
5833,14660,34,F,1.0,70,35252,1,1,Rent,50021,9/6/2016,Tuesday,Local,0,0.0,20,Broker,0,5516.821515,4.0,Medium,13432.4745,silver,13418.47715
6359,15960,44,M,1.0,68,37840,1,1,Own,20128,3/11/2016,Friday,Local,1,0.0,52,Phone,0,4612.632828,5.0,Compact,32624.197710000004,other,14106.61621
7164,17958,52,M,1.0,74,39537,1,1,Rent,20132,9/25/2015,Friday,Local,0,1.0,55,Phone,0,7214.632266,3.0,Medium,11037.02527,black,19072.25398
608,1557,27,M,1.0,49,32968,0,1,Rent,20155,4/11/2015,Saturday,Local,3,1.0,25,Online,1,5614.049946,6.0,Large,33127.70225,silver,30043.15328
8557,21439,39,M,1.0,87,36633,0,1,Rent,85023,2/2/2015,Monday,Local,0,1.0,1,Broker,1,6816.974213,5.0,Large,18774.571,black,21975.35451
7273,18266,39,F,1.0,77,36646,1,1,Own,85041,11/29/2016,Tuesday,Local,0,1.0,99,Phone,0,3794.59445,1.0,Medium,34384.58822,silver,29383.44605
10696,26735,44,F,1.0,74,37843,1,0,Own,15038,5/20/2015,Wednesday,Local,0,0.0,92,Broker,0,2803.191057,6.0,Large,14596.97683,gray,33996.39463
